Vocabulary;Source;Vocabulary_ID;CUI;RAG_NAME;CUI_NAME;CONCEPT_NAME;M0_regex;M1_regex;M2_question;M3_feature_name;M3_question;M3_examples
RxNorm;SOFA-score;1337720;C0012963;dobutamine;dobutamine;dobutamine;\b(dobutamine|dobutamin)\b;\b(dobutamine|dobutamin)\b;Does this patient currently have any dose of dobutamine?;dobutamine;What is the current dose of dobutamine being administered (µg/kg/min)?;"Text: ""Dobutamine - 8 mcg/Kg/min""  
Output: {{""value"": 8 mcg/Kg/min}}

Text: ""Patient required norepinephrine, dobutamine, and milrinone.""  
Output: {{""value"": null}}

Text: ""IV dopamine initiated @ 5mcg/kg/hr and \n quickly titrated to 15mcg/kg/min.""
Output: {{value: 15mcg/kg/min}}
"
RxNorm;SOFA-score;1337860;C0013030;dopamine;dopamine;dopamine;\b(dopamine|dopamin|da)\b;\b(dopamine|dopamin|da)\b;Does this patient currently have any dose of dopamine?;dopamine;What is the current dose of dopamine being administered (µg/kg/min)?;"Text: ""She arrived in the CCU on dopamine 10mic/kilo""  
Output: {{""value"": 10mic/kilo}}

Text: ""Dopamine - 5 mcg/Kg/min""
Output: {{""value"": 5 mcg/Kg/min}}

Text: ""Dopamine and Levophed gtts started""  
Output: {{""value"": null}}"
RxNorm;SOFA-score;1343916;C0014563;epinephrine;epinephrine;epinephrine;\b(epinephrine|epinephrin|adrenaline|adrenalin|epi)\b;\b(epinephrine|epinephrin|adrenaline|adrenalin|epi)\b;Does this patient currently have any dose of epinephrine?;epinephrine;What is the current dose of epinephrine being administered (µg/kg/min)?;"Text: ""Epi started at 0.02mcg/kg/min""
Output: {{""value"": 0.02mcg/kg/min}}

Text: ""wean Epi for CI > 2.0""
Output: {{""value"": null}} "
RxNorm;SOFA-score;1321341;C0028351;norepinephrine;norepinephrine;norepinephrine;\b(norepinephrine|ne|noradrenaline|noradrenalin|norepi|nor-epi)\b;\b(norepinephrine|ne|noradrenaline|noradrenalin|norepi|nor-epi)\b;Does this patient currently have any dose of norepinephrine?;norepinephrine;"What is the current dose of norepinephrine being administered (µg/kg/min)?
";"Text: ""Norepinephrine - 0.06 mcg/Kg/min""
Output: {{""value"": 0.06 mcg/Kg/min}}

Text: ""11. Norepinephrine 12. Pneumococcal Vac Polyvalent""
Output: {{""value"": null}}"
LOINC;SOFA-score, qSOFA-score;3007194;C0806223;glasgow coma score;Glasgow coma score.total;Glasgow Coma Scale ≤ 14;\b(gcs|glasgow[ -]?coma[ -]?scale|glasgow[ -]?coma)\b;\b(gcs|glasgow[ -]?coma[ -]?scale|glasgow[ -]?coma)\b;Has the patient currently score 14 or lower on the Glasgow Coma Scale?;glasgow coma scale;What is the patient’s current Glasgow Coma Scale (GCS) score?;"Text: ""GCS = 6""
Output: {{""value"": 6}}

Text: ""current GCS scale of 9 (< 10)""
Output: {{""value"": 9}}"
LOINC;SOFA-score;3024128;C0364108;bilirubin;Bilirubin.total [Mass/volume] in Serum or Plasma;Bilirubin ≥ 1.2 mg/dL;\b((tot(al)?)[ -]?)?(bilirubin|bili)([ -]?(tot(al)?))?\b[-]?(\d+(\.\d+)?\b)?;\b((tot(al)?)[ -]?)?(bilirubin|bili)([ -]?(tot(al)?))?\b[-]?(\d+(\.\d+)?\b)?;Does the patient currently have a bilirubin level greater than 1.2 milligrams per deciliter?;bilirubin;"What is the patient’s current bilirubin level (mg/dL)?
";"Text: ""patient's bilirubin was 6""
Output: {{""value"": 6}}

Text: ""bili to 7.0""
Output: {{""value"": 7}}

Text: ""\n Bili \n Neg""
Output: {{""value"": null}}"
LOINC;SOFA-score;3016723;C0364294;creatinine;Creatinine [Mass/volume] in Serum or Plasma;Creatinine ≥ 1.2 mg/dL;\b((creatinine|cr|cre|creat|kreatinine|kre|k|kreat)[.]?)\b[-]?(\d+(\.\d+)?\b)?;\b((creatinine|cr|cre|creat|kreatinine|kre|k|kreat)[.]?)\b[-]?(\d+(\.\d+)?\b)?;Does the patient currently have a creatinine level greater than 1.2 milligrams per deciliter?;creatine;What is the patient’s current creatinine level (mg/dL)?;"Text: ""\n Cr \n 2.5""
Output: {{""value"": 2.5}}

Text: ""Creatinine up to 1.8""
Output: {{""value"": 1.8}}"
LOINC;SOFA-score;3027801;C1822073;partial pressure of oxygen in arterial blood;partial pressure of oxygen in arterial blood;Oxygen [Partial pressure] in Arterial blood PaO₂/FiO₂ ≤ 400;\b(pao2|po2|Pao_2|p[ -]?ao2)\b;\b(pao2|po2|Pao_2|p[ -]?ao2)\b;Does this patient currently have PaO₂/FiO₂ ratio below 400 mm Hg?;oxygen in arterial blood;What is the patient’s current PaO₂/FiO₂ ratio?;"Text: ""PaO2 / FiO2: 602""
Output: {{""value"": 602}}

Text: ""PaO2 / FiO2: 142""
Output: {{""value"": 142}}"
LOINC;SOFA-score;3007461;C0005821;blood platelets;Blood Platelets;Platelets [#/volume] in Blood ≤ 150,000/µL;\b((platelets|thrombocytes|plt|plts|thrombozyten)[- ]?(ct|cnt|count))\b[-]?(\d+(\.\d+)?\b)?;\b((platelets|thrombocytes|plt|plts|thrombozyten)[- ]?(ct|cnt|count))\b[-]?(\d+(\.\d+)?\b)?;Does this patient currently have a platelet count lower than 150 thousand per microliter?;platelet count;What is the patient’s current platelet count (×10⁹/L)?;"Text: ""Plt \n                                     129""
Output: {{""value"": 129}}

Text: ""plt 101""
Output: {{""value"": 101}}

Text: ""Pt transfused with 1 unit platelets""
Output: {{""value"": null}}"
LOINC;SOFA-score;3014315;C0232856;urine output;Rate of urine output, function;Urine output < 500 mL/day;\b(urine[-]?output|u[-]?output|urinary[ -]?output|uop)\b;\b(urine[-]?output|u[-]?output|urinary[ -]?output|uop)\b;Is the patient’s current urine output less than 500 milliliters per day?;urine output;What is the patient’s current urine output (mL) per day?;"Text: ""uop 450ml""
Output: {{""value"": 450ml}}

Text: ""- Lasix gtt 10-15 mg/hr with goal 100-150 cc/hr of UOP""
Output: {{""value"": null}}

Text: ""Urine output 4-20cc clear concentrated urine hourly.""
Output: {{""value"": null}}"
